infohash,creation_date_conv,piece_length,number_pieces,number_files,torrent_size
6c15cdfbc76fb8ef1ffc60cf05884d68764888e1,2013-02-27 00:25:42,2097152,10651,3767,22336726555
6c7cc2d52739e70999ccff474ac9593fac74624f,2013-03-07 07:24:35,262144,3812,1,999292928
8279ff8b9232ddd32a4e964eba0561d41eaaa364,2007-11-06 14:02:16,262144,2770,2,726038597
a4e5692aa64e86a18ef7f2a33e7acb7344db606a,2010-02-15 22:43:38,2097152,1718,646,3600996115
779c3b64448f0b438a80cad8d202cec84f4e0bf5,2006-11-22 06:47:13,65536,2803,0,183653401
f7cdabda307d8bec37e87488cb9b8e5bdd1b4bdc,2007-10-22 08:25:38,32768,14389,2,471484474
036be352b6f1adb86fa1450156b055b7b34ff3a7,2005-09-09 09:45:53,262144,2797,0,732956672
861ef19e66d1cf678a75d7a0d31e463d0c8ff794,2006-05-02 18:19:39,262144,2636,2,690992527
2d50a47380fc8c487206237c02f6b4a640328cf3,2007-08-06 18:07:54,262144,2746,1,719599616
aa4998eab00f21c90a349052895671a6613a39a4,2006-04-24 12:50:59,262144,2801,0,734208000
0d1baad26e0099de2062c4252d53bb9e3d8ab128,2005-10-23 02:48:19,262144,2795,0,732678144
41e9ce0ec4a1964a50490ba87abe01039706553a,2005-07-14 10:25:31,262144,2801,0,734246912
d11918fc42bb128a3f969838bacae9b6e72e3a71,2011-05-30 09:41:08,262144,6160,4,1614630546
433af1ca9a1f66418e7086d9b35892fb4faab6b9,2012-12-19 03:53:17,262144,39975,6306,10478978435
b334be1b113e186354b0ff8bd92a300b7ed07ef8,2006-12-25 02:43:27,262144,2799,0,733598780
a6cd140e1c329190e634577011a47ec9d1b1e019,2012-04-11 23:06:34,4194304,3024,5,12682001078
599b089f35d6792b068b059c1f39adb2c0fc3b9e,2008-07-19 17:10:44,2097152,3814,32,7997987958
1490182b1cfe952e96e78220184d02b4eb5169aa,2008-06-09 13:46:44,262144,17364,0,4551829504
db6368fb0ec5911d880b2cf7a6dc2149d556acfc,2012-08-30 02:58:47,262144,2712,1,710934528
d866587d4429cf82537139478203d1d9d16f75db,2012-04-02 04:56:16,524288,2609,3,1367601946
86834d3375cda35c78c6ee9ba999cb32d2e387db,2007-09-22 16:34:16,262144,8934,3,2341859460
47e0420bbc030ebb3d2b2cf236b35f60c76cdd25,2011-12-09 09:55:54,524288,3230,9,1693067012
b7e58a5e7a3aa58fdbadb4d6838c0fea32501e12,2008-05-12 13:03:28,262144,15109,7,3960564430
676743b1a6de748de66c2c8eeb6e0c34c946790d,2006-08-28 15:47:04,2097152,1598,868,3350256127
f70f45759e6f9074f0c699274be55fb95d1bbdfe,2011-09-29 11:16:46,524288,3193,4,1673928079
ce4d026631804f41bb4d20972b1b55ab5f21086b,2006-05-30 01:37:31,262144,2797,0,733216768
c4e6bb6e5064f3c06b8dcd776bc24711109677b6,2006-12-25 02:28:29,262144,2797,0,733093888
bbfd3b63354a5d5b33ff4830acf68ef4cf216591,2008-05-12 13:02:25,262144,16850,2,4417065789
44bbaa8184a54c353e05238b59d30fd86317bf69,2006-12-04 09:15:43,262144,13567,5,3556413440
7be29789a9e257a4edaebec3417bf98e3ed459a3,2006-03-19 20:42:55,262144,12576,7,3296658079
693f5ca19ec1f6114bc015ddc67415df7119c101,2011-04-28 23:22:01,524288,3212,0,1683866448
8bc049ad1d22d3c068ea78c6536e10a13f190c09,2005-10-23 02:56:29,262144,2800,0,733962240
0ff9cd4f43f5df2a30c694c87e63978af26ee9d4,2007-11-25 14:04:29,524288,3516,0,1843215730
3648ef666665eb000835408e479b5cf8ef7c1f0a,2011-03-27 23:09:31,262144,4629,4,1213439844
66ed7f30e3b30fa647abaa19a36e7503aa071535,2011-12-07 03:32:13,524288,3095,4,1622609917
1490182b1cfe952e96e78220184d02b4eb5169aa,2008-06-09 13:46:44,262144,17364,0,4551829504
06b41c06c00e8e67f7df86a02ef220a48a04de2c,2010-05-05 13:51:38,524288,16192,664,8488780105
58dfa32d9b747e6ae9e2b8e6717a528bd002be48,2014-01-26 13:28:58,16777216,3942,6695,66127730113
af93bef3fcbcec4623d943b8de6af0dd99deea3e,2012-01-23 11:06:13,524288,2800,4,1467714423
47e0420bbc030ebb3d2b2cf236b35f60c76cdd25,2011-12-09 09:55:54,524288,3230,9,1693067012
7be29789a9e257a4edaebec3417bf98e3ed459a3,2006-03-19 20:42:55,262144,12576,7,3296658079
aa7a604a6ceade7ac7e0fbf2c24fb4705f25a3cf,2012-03-29 16:27:24,8388608,3119,3030,26163496840
8ee13173d2de59d707f1110d3319c41987cf74b3,2011-02-08 12:43:07,524288,1491,1164,781391265
66ed7f30e3b30fa647abaa19a36e7503aa071535,2011-12-07 03:32:13,524288,3095,4,1622609917
0819ccee9ebe25d7a02fe14496d58af10ef94aec,2011-05-16 12:04:40,262144,12087,4,3168464778
9efea62359e32b14095c9df13fa5165cd28d2dc2,2005-07-18 10:45:33,262144,2801,0,734214144
3a4be1d48c31dfa62bf52958f3fdca3d5ce91cf1,2011-12-07 11:32:32,1048576,7550,8,7916262968
7f34612e0fac5e7b051b78bdf1060113350ebfe0,2008-05-29 07:03:07,262144,2767,0,725106140
ccd13c1341c4604bc156beadb61a89991ae944c3,2006-12-25 02:41:11,262144,2798,0,733446308
1830ff2a734f2f5758deca9deefaa4438fae82f9,2006-03-19 20:43:53,262144,13931,7,3651900056
279d658e0a331375b91a35e8232c65413781db3f,2007-04-09 14:10:16,32768,839,500,27469222
1e4dae83371ba704d5d89e1828068ef0c4151e32,,262144,3839,0,1006147291
f4d5f2b81bff81069f52aad496d025722d131eb9,2007-03-15 08:46:05,262144,14805,1,3881041920
f70f45759e6f9074f0c699274be55fb95d1bbdfe,2011-09-29 11:16:46,524288,3193,4,1673928079
754ea5e1ee02e32d9646f0d5b6c865e2805a7a99,2008-05-12 13:06:41,262144,15884,2,4163697496
a9610ba30d48a2568ca0efcd5f67ee774ca6ed23,2005-08-20 09:42:30,262144,2801,0,734228480
376290710e861c56c27f608d37edf3db9f9d206a,2007-11-25 09:37:02,524288,4083,0,2140274688
a2549f5279e0333471b6d861f079c4df0f899eb5,2011-05-20 09:08:10,262144,2723,3,713745060
7f17a20c92b5fd3a78787832f511e0e9deff3688,2013-04-16 09:34:27,4194304,2778,1042,11651734488
a7475ec8ec7390b0394b6d9dd90ce2526afc97a0,2009-09-08 16:13:52,2097152,2148,891,4503910176
e69f3c3f3b4990091ff319e66f47a3c29ead5bf9,2008-05-12 12:59:48,262144,13660,2,3580680964
58f723ccd2cf27a2a06bf90ecd5a489ead7381b2,2011-01-31 17:19:41,262144,27679,3,7255760564
1a8eff1b5f8534913cf2cda93b457699425abec8,2012-06-06 03:24:56,524288,3806,0,1995061264
3f6277f1eb5ba087ef7c561e41b6b2cd23211b05,2005-07-07 09:27:24,262144,5601,0,1468110848
6c7cc2d52739e70999ccff474ac9593fac74624f,2013-03-07 07:24:35,262144,3812,1,999292928
56d5cc6ff633c9214b8b3f1b31759ca334dfb0cb,2011-06-06 09:39:46,262144,2773,3,726814974
06b3f612787b84f66d3f4457ab8c749c5d77fae3,2011-04-07 20:27:34,262144,2678,3,701761956
263a4487fda3fd9009c033815857fe4d2eb55bcf,2006-12-25 02:36:51,262144,2798,0,733403136
1112d9e509d6fcd93d9c6be45f70994a93d4dc32,2011-03-14 04:37:47,262144,4611,3,1208575180
91998f231c9c3615b23d65fbf4eaef249f28576c,2005-07-12 11:20:42,262144,2801,0,734238720
b15b00fefe533c7337013ecb6018e6c37ff41383,2006-03-21 06:03:14,262144,2801,0,734126080
580462b68e32c5b9fe3b306fdca90c3d9e977649,2011-05-17 08:31:36,262144,2728,3,714898880
2d50a47380fc8c487206237c02f6b4a640328cf3,2007-08-06 18:07:54,262144,2746,1,719599616
c3bbef9abca9e59f0f4bbdd9a5bafeb46430689f,2009-08-14 08:08:09,1048576,3861,6,4048088708
b64d348883a00593475db806e4e71b50411f44e0,2010-12-18 00:29:48,4194304,609,1008,2554292628
28596a9bbfb377dd5b01d69fa1762246aaefc650,2008-05-12 13:04:29,262144,15110,2,3960742606
db76abd096feabda899cd5ccc91cd2b64aa5a0db,2006-05-30 14:23:07,262144,4673,0,1224948600
99b125c2c593c5b28b1443ecfebb026231804892,2013-03-07 07:24:19,262144,3712,1,973078528
4d9750a77ef4f59ab3ac8d9b7c572eaaed7e4179,2006-05-02 00:45:04,262144,2801,0,734109696
01625cc03ff92b39302ab63c97330b3cb1a12985,2007-02-21 11:48:27,524288,3278,0,1718566912
547c0fff9bab9ca85b2ecc18f9746e8bcaa7a336,2006-07-14 11:22:25,262144,17648,0,4626251776
4c97bb98170c500d9c5986486574263b4b2c8832,2007-06-02 19:38:21,262144,2805,2,735289409
547c0fff9bab9ca85b2ecc18f9746e8bcaa7a336,2006-07-14 11:22:25,262144,17648,0,4626251776
0bf53fe32b7ed17a133f5a15b204ecdb71a4f9d0,2008-04-10 16:03:53,2097152,1654,691,3467073951
12d50fd7283418a214ce8d689b991a745403e11f,2009-12-18 17:41:02,262144,2776,2,727466673
b15b00fefe533c7337013ecb6018e6c37ff41383,2006-03-21 06:03:14,262144,2801,0,734126080
f4c08bb37b91e9749419011cc85418cae632e25e,2010-12-14 09:31:43,262144,4621,4,1211345325
28596a9bbfb377dd5b01d69fa1762246aaefc650,2008-05-12 13:04:29,262144,15110,2,3960742606
b95910ebe8878bc52386d12505c6cbe3149d9a50,2011-01-24 11:16:06,262144,9049,5,2371935518
86834d3375cda35c78c6ee9ba999cb32d2e387db,2007-09-22 16:34:16,262144,8934,3,2341859460
a781e5e83ba7192fd57cecd3386a88a948384e10,2005-07-18 10:42:47,262144,2797,0,733007872
ecb1bc999470297243210a4503a38f1d5efbac79,2011-06-24 09:41:42,8388608,2350,8119,19712364796
de3cb6aac5ef0aec3a8015397f896ae8450e3b83,2006-12-04 09:24:00,262144,13283,5,3481956352
677990ea4143f079f99acd0ae843a3b2c1c127e2,2006-06-01 02:43:25,1048576,3396,0,3560097792
578f8dee7a77c0ba6b750188026a8fbfcee2351b,2009-04-09 01:01:48,262144,24640,13,6459058786
4c97bb98170c500d9c5986486574263b4b2c8832,2007-06-02 19:38:21,262144,2805,2,735289409
4c27d6761f9d292296bb51c366899ecad4dffcef,2012-02-16 20:25:16,2097152,2417,771,5067264260
6d2d8ac93a8d40e9ee0e801ab8bf8efd00cac9eb,2011-05-17 10:26:31,262144,2811,3,736720458
f14cacc2c826faa600ce155ea442a3dc1b85f632,2005-09-01 13:36:57,262144,2798,0,733290496
80f629d54d035b1b4aec8c8f43345b2d2ee12129,2013-09-21 01:09:13,2097152,9496,7451,19912906867
40cf347e39fe45e3c5bfde8d844015cde10ad1e8,2011-01-24 02:08:40,262144,2818,5,738577801
aa382b0eba23963cf94fe5f363f0900957bb77f2,2006-06-01 02:42:16,1048576,3284,0,3443007488
9323f615656d9cb21246051a7e2965e23ac69dbf,2013-01-14 11:02:10,262144,3325,2,871367737
8c2547e7499846629be45b4d64850ee63d7f7a6c,2005-06-17 14:28:55,262144,2797,0,732960768
fd8d39197a17e4c8ac78696b94832713346b83e0,2006-12-04 09:12:27,262144,12972,5,3400505344
d866587d4429cf82537139478203d1d9d16f75db,2012-04-02 04:56:16,524288,2609,3,1367601946
90e3f47e2b07acdd9d86ec252707fd5072c46be5,2006-06-01 02:42:50,1048576,3216,0,3371372544
c2a89806420e3252377bb0dc1fb21c2a75733695,2006-02-18 23:52:53,262144,10236,712,2683261310
99b125c2c593c5b28b1443ecfebb026231804892,2013-03-07 07:24:19,262144,3712,1,973078528
b6facfe2ac4d92cbe44f4b5d03ad377a1e30562f,2007-06-18 02:00:28,262144,9707,0,2544392192
754ea5e1ee02e32d9646f0d5b6c865e2805a7a99,2008-05-12 13:06:41,262144,15884,2,4163697496
da2c5c571ad54c79880492b63489236787226349,2009-07-15 09:25:56,2097152,3239,3,6792546551
bbfd3b63354a5d5b33ff4830acf68ef4cf216591,2008-05-12 13:02:25,262144,16850,2,4417065789
13ac8bb4a0d0c714710fa242c2cdced6c4f445e8,2007-11-06 14:02:05,262144,6030,2,1580621894
6c7d0709e157cbcdba66525c6dd41f7be7abafcb,2007-03-15 08:50:35,262144,15002,1,3932555264
42c090c9d31e7c7bd21d9cd8abce20ba94dae9e5,2005-06-25 12:05:51,262144,2801,0,734187520
62e3a9075e88e3f8a76f678e141e5bfe0a6e84f5,2011-05-17 02:05:05,262144,2794,3,732256510
0d1baad26e0099de2062c4252d53bb9e3d8ab128,2005-10-23 02:48:19,262144,2795,0,732678144
fadb34261e8ba7dcce41cfa479d72240f3a36f12,2008-09-26 13:58:56,262144,12474,0,3269744640
14a42e65d4061383be038afc4b288e0797b6ff02,2006-12-25 02:32:47,262144,4482,0,1174850176
becb9d4b630e4158540db683129b9fa7aecd451f,2008-05-12 13:05:34,262144,15887,8,4164477784
49db9372579ff484fcae99920c2c790303d5cb55,2008-10-11 06:29:12,262144,2804,2,735049104
d3aff05dea6b29167fe8ccf49005dd165aa10024,2008-05-12 13:00:16,262144,2766,2,724975994
b7e58a5e7a3aa58fdbadb4d6838c0fea32501e12,2008-05-12 13:03:28,262144,15109,7,3960564430
8929b29b83736ae650ee8152789559355275bd5c,2011-04-27 09:51:44,262144,4644,4,1217208422
3152cf533aaa6f4f1e2c8eb03606321d0fb803ae,2006-08-16 15:04:52,262144,7234,0,1896155930
4b378567376877da8a50716363c31008e1f6f951,2009-01-08 18:20:29,4194304,3071,1065,12877638514
0d2e68373d313f00c93fa442fa63d9ecf2403892,2005-07-12 10:37:32,262144,2797,0,733065216
3152cf533aaa6f4f1e2c8eb03606321d0fb803ae,2006-08-16 15:04:52,262144,7234,0,1896155930
44a3757a6627c09bf04c97744936ab3cecd37af0,2005-07-27 13:37:01,262144,2801,0,734113792
3ee939ac8f1a0fc0727a83d26a64117a10888356,2013-05-08 18:49:10,4194304,11085,4568,46493323853
557e8a53c45127774f88000822142fbf454c93a0,2005-10-23 02:57:01,262144,2800,0,733992960
a7475ec8ec7390b0394b6d9dd90ce2526afc97a0,2009-09-08 16:13:52,2097152,2148,891,4503910176
e5310fe31cbcb753f6e95fc2122b15c838f6f1f9,2009-01-31 17:11:01,262144,681,2011,178328117
8832778ccae0dbf2625fb1c399c3ff39d0f674b5,2006-12-25 02:39:01,262144,2800,0,733954140
